1472 0
3 0
9 40
12 0
10 1
2 3
3 0
9 41
16 2
13 0
7 1
3 0
9 42
17 0
15 2
3 2
3 0
9 43
14 1
7 1
0 1
3 0
9 46
10 1
9 0
7 1
3 0
9 47
15 2
7 1
3 2
3 0
9 48
18 3
15 2
7 1
3 0
9 49
7 1
6 1
2 3
3 0
9 50
16 2
11 1
0 2
3 0
10 35
17 0
13 0
3 2
3 0
10 36
10 1
7 1
5 2
3 0
10 37
6 1
3 2
2 3
3 0
10 39
10 1
7 1
0 1
3 0
10 40
13 0
7 1
3 2
3 0
10 41
15 1
10 1
7 1
3 0
10 42
3 2
2 3
1 1
3 0
10 43
15 2
10 1
3 2
3 0
10 44
16 2
9 0
5 3
3 0
10 46
5 3
2 3
0 1
3 0
10 49
11 1
3 2
0 2
3 0
10 50
9 0
2 3
0 2
3 0
10 55
9 0
7 1
5 3
3 0
11 33
16 2
3 2
1 1
3 0
11 34
17 0
6 1
3 2
3 0
11 35
8 0
3 2
2 3
3 0
11 36
13 0
10 1
3 2
3 0
11 39
7 1
6 1
3 2
3 0
11 40
5 2
2 3
0 2
3 0
11 43
9 0
5 3
3 2
3 0
11 44
7 1
3 2
1 1
3 0
11 45
15 1
2 3
0 2
3 0
11 46
12 0
2 3
0 2
3 0
11 47
10 1
7 1
6 1
3 0
11 48
7 1
5 3
0 1
3 0
11 49
14 1
8 0
7 1
3 0
11 51
10 1
9 0
5 3
3 0
11 52
9 0
7 1
0 2
3 0
11 54
6 1
5 3
2 3
3 0
11 55
12 1
10 1
2 3
3 0
11 57
13 0
7 1
5 3
3 0
12 31
16 2
5 2
0 2
3 0
12 36
5 3
3 2
0 1
3 0
12 37
8 0
7 1
3 2
3 0
12 51
6 1
2 3
0 2
3 0
12 56
2 3
1 1
0 2
3 0
13 30
5 2
3 2
0 2
3 0
13 31
9 0
5 2
2 3
3 0
13 33
10 1
8 0
3 2
3 0
13 34
9 0
2 3
0 1
3 0
13 57
7 1
6 2
2 3
3 0
13 58
7 1
1 1
0 2
3 0
14 26
11 0
10 1
3 2
3 0
14 27
12 0
5 2
2 3
3 0
14 29
15 1
2 3
0 1
3 0
14 31
3 2
2 3
1 0
3 0
14 32
15 1
12 0
2 3
3 0
14 62
12 1
10 1
5 3
3 0
15 26
7 1
5 2
0 1
3 0
15 27
12 0
9 0
3 2
3 0
15 28
15 1
7 1
5 2
3 0
15 62
6 2
5 3
2 3
3 0
15 63
5 3
1 1
0 2
3 0
16 24
15 1
10 1
5 2
3 0
16 25
12 0
10 1
5 2
3 0
16 27
14 0
7 1
3 2
3 0
16 64
7 1
6 2
5 3
3 0
17 23
11 0
5 2
2 3
3 0
17 26
7 1
3 2
2 2
3 0
18 22
10 1
3 2
2 2
3 0
18 23
8 0
3 2
0 1
3 0
18 24
17 0
16 2
10 0
3 0
18 25
11 0
7 1
5 2
3 0
18 65
7 1
3 3
1 1
3 0
18 67
10 2
7 1
0 2
3 0
19 20
7 0
5 2
2 3
3 0
19 21
11 0
10 1
5 2
3 0
20 22
12 0
9 0
5 2
3 0
20 70
5 3
3 3
1 1
3 0
21 19
3 2
1 0
0 1
3 0
21 21
10 1
7 0
0 1
3 0
22 17
16 2
13 3
5 2
3 0
22 20
6 1
5 2
0 1
3 0
23 19
8 0
7 0
3 2
3 0
24 17
12 0
11 0
0 1
3 0
24 18
11 0
3 2
1 0
4 0
24 55
7 1
6 0
3 2
0 2
4 0
24 58
6 1
2 3
1 0
0 2
4 0
24 59
4 0
3 2
2 3
0 2
4 0
24 61
7 1
5 3
3 1
2 3
4 0
24 63
6 1
3 3
2 3
0 1
4 0
24 65
5 2
3 3
2 3
1 1
3 0
24 73
6 2
5 3
3 3
3 0
25 18
8 0
3 2
2 2
4 0
25 51
5 2
4 1
2 3
0 2
4 0
25 55
7 1
4 1
3 2
1 1
4 0
25 59
4 3
3 2
2 3
1 1
4 0
25 61
4 2
3 2
1 1
0 2
4 0
25 63
5 3
4 3
2 3
0 1
4 0
25 66
8 0
7 1
4 2
0 2
4 0
25 67
7 0
3 3
2 3
0 2
4 0
25 69
9 0
5 3
3 3
0 1
4 0
25 70
5 3
4 1
2 3
1 1
3 0
26 14
5 2
1 0
0 1
3 0
26 15
7 0
3 2
1 0
3 0
26 16
15 1
5 2
1 0
3 0
26 17
6 0
5 2
3 2
4 0
26 47
5 3
4 1
3 2
0 1
4 0
26 51
3 2
2 3
1 2
0 1
4 0
26 55
4 2
2 3
1 1
0 1
4 0
26 57
5 2
4 3
2 3
0 2
4 0
26 59
5 3
3 2
2 3
1 3
4 0
26 60
6 0
5 3
3 2
0 2
4 0
26 61
7 1
4 3
3 2
1 1
4 0
26 62
6 1
4 1
2 3
0 2
4 0
26 68
7 1
2 3
1 3
0 2
4 0
26 69
8 0
6 1
3 3
2 3
4 0
26 72
7 1
5 3
4 1
1 1
4 0
26 73
6 1
5 3
4 2
0 2
3 0
27 14
9 0
5 2
2 2
4 0
27 47
7 1
6 2
5 2
0 1
4 0
27 50
6 0
3 2
2 3
1 1
4 0
27 53
5 3
4 3
3 2
0 1
4 0
27 54
6 0
5 3
2 3
0 1
4 0
27 66
5 3
4 0
3 2
0 2
4 0
27 72
5 3
3 2
2 3
0 3
4 0
27 73
4 3
2 3
1 1
0 2
4 0
27 74
6 2
4 2
2 3
0 2
4 0
27 75
5 3
3 3
1 1
0 1
3 0
28 14
3 2
2 2
1 0
4 0
28 44
7 1
6 1
1 0
0 1
4 0
28 45
4 2
3 2
1 1
0 1
4 0
28 46
3 2
2 2
1 1
0 2
4 0
28 47
5 2
4 3
3 2
0 2
4 0
28 48
6 0
5 2
2 3
0 2
4 0
28 71
6 2
3 3
2 3
0 1
4 0
28 72
5 0
3 2
2 3
0 2
4 0
28 73
5 3
2 3
1 3
0 2
4 0
28 76
6 1
5 3
2 3
1 2
3 0
29 13
11 0
5 2
1 0
3 0
29 14
14 0
8 0
5 2
4 0
29 41
5 2
4 3
2 3
0 1
4 0
29 44
6 0
5 3
3 2
0 1
4 0
29 46
6 1
4 1
2 3
0 1
4 0
29 73
5 3
4 0
2 3
1 1
4 0
29 75
3 2
2 0
1 1
0 2
4 0
29 77
6 0
5 3
3 3
2 3
3 0
30 12
12 0
10 0
5 2
3 0
30 13
8 0
5 2
2 2
4 0
30 40
3 2
2 3
1 3
0 1
4 0
30 75
6 1
5 3
4 3
0 2
4 0
30 79
6 2
5 3
4 3
2 3
3 0
31 12
12 0
11 0
2 2
3 0
31 13
7 0
1 0
0 1
4 0
31 38
5 2
4 1
3 2
1 1
4 0
31 41
4 1
3 2
1 1
0 1
4 0
31 42
7 0
5 2
1 1
0 2
4 0
31 78
5 3
4 2
2 3
1 2
4 0
31 80
4 0
3 3
2 3
0 2
4 0
31 82
7 1
5 3
3 0
2 3
3 0
32 13
9 0
7 0
2 2
4 0
32 38
5 2
4 0
2 3
0 1
4 0
32 79
7 1
3 0
2 3
0 2
4 0
32 80
4 3
3 3
2 3
1 1
4 0
32 82
4 2
3 3
1 1
0 2
3 0
33 11
11 0
10 0
0 1
3 0
33 12
2 2
1 0
0 1
4 0
33 36
5 2
3 2
1 2
0 1
4 0
33 40
4 1
2 3
1 0
0 1
4 0
33 80
5 3
3 3
2 3
1 3
4 0
33 83
5 3
2 3
1 1
0 3
3 0
34 11
12 0
5 2
3 1
3 0
34 13
12 3
5 2
0 1
4 0
34 35
5 2
3 2
2 3
0 0
4 0
34 83
5 0
2 3
1 1
0 2
4 0
34 84
5 3
3 0
2 3
0 2
4 0
34 85
7 1
5 3
1 1
0 3
3 0
36 11
7 0
6 0
5 2
4 0
36 33
5 2
4 3
3 2
1 0
4 0
36 34
6 0
5 2
2 3
1 0
4 0
36 36
4 3
3 2
1 0
0 1
4 0
36 84
4 3
3 3
1 1
0 2
4 0
36 85
5 3
4 1
2 0
0 2
3 0
37 11
9 3
2 2
