1
1,1
2,3
3,3
4,0
5,0
6,0
7,3
8,1
9,4
10,2
11,2
12,1
13,4
14,3
15,3
16,4
17,1
18,2
19,4
20,0
21,4
22,0
23,3
24,4
25,4
26,3
27,3
28,2
29,2
30,1
31,3
32,2

2
1,1
2,3
3,3
4,0
5,0
6,0
7,3
8,1
9,4
10,3
11,2
12,1
13,4
14,3
15,3
16,4
17,2
18,2
19,4
20,0
21,3
22,0
23,3
24,4
25,4
26,2
27,2
28,1
29,2
30,2
31,3
32,2

3
1,1
2,3
3,3
4,0
5,0
6,0
7,3
8,1
9,4
10,3
11,3
12,1
13,4
14,4
15,1
16,4
17,0
18,2
19,4
20,0
21,3
22,2
23,3
24,4
25,4
26,1
27,0
28,0
29,2
30,0
31,3
32,2

4
1,1
2,3
3,3
4,0
5,0
6,0
7,3
8,2
9,4
10,1
11,4
12,1
13,4
14,3
15,0
16,0
17,2
18,3
19,4
20,0
21,3
22,2
23,4
24,4
25,4
26,0
27,3
28,2
29,0
30,2
31,3
32,2

5
1,1
2,3
3,3
4,0
5,0
6,0
7,3
8,1
9,4
10,4
11,4
12,1
13,4
14,0
15,0
16,1
17,2
18,3
19,4
20,0
21,3
22,2
23,0
24,4
25,4
26,3
27,3
28,2
29,0
30,1
31,3
32,2

6
1,1
2,3
3,3
4,0
5,0
6,3
7,2
8,1
9,3
10,3
11,3
12,4
13,4
14,3
15,3
16,4
17,1
18,3
19,4
20,0
21,3
22,2
23,4
24,3
25,4
26,1
27,2
28,2
29,2
30,2
31,0
32,2

7
1,1
2,0
3,2
4,0
5,3
6,0
7,2
8,4
9,3
10,0
11,3
12,1
13,3
14,3
15,0
16,4
17,1
18,1
19,3
20,0
21,2
22,1
23,0
24,3
25,3
26,0
27,1
28,2
29,4
30,4
31,2
32,2

8
1,1
2,0
3,2
4,0
5,3
6,4
7,2
8,0
9,3
10,0
11,3
12,4
13,0
14,0
15,4
16,3
17,1
18,2
19,3
20,0
21,2
22,1
23,3
24,3
25,3
26,0
27,2
28,1
29,4
30,1
31,2
32,2

9
1,1
2,0
3,3
4,0
5,3
6,3
7,3
8,2
9,4
10,0
11,4
12,1
13,4
14,4
15,4
16,4
17,2
18,3
19,4
20,0
21,0
22,2
23,4
24,1
25,4
